2024,1,1,0,1.8,11.8
2024,1,2,0,0.4,12
2024,1,3,0,0.1,10.8
2024,1,4,0,3.2,14.4
2024,1,5,0,-0.4,12.5
2024,1,6,0,-0.9,15.3
2024,1,7,0,3.9,12.8
2024,1,8,0,-0.4,9.2
2024,1,9,0,-3.3,9.7
2024,1,10,0,-1.6,12.7
2024,1,11,0,-1.8,7.1
2024,1,12,0,-4.4,14.2
2024,1,13,0.5,1.6,11.1
2024,1,14,0,-0.9,10.1
2024,1,15,0,-1,9.8
2024,1,16,0,-1,6.4
2024,1,17,0,-1.5,12
2024,1,18,0,-0.2,15.5
2024,1,19,0,5.5,14.8
2024,1,20,4.5,4.2,7.1
2024,1,21,27,4,13.9
2024,1,22,0,2.8,12.8
2024,1,23,0,3.6,13.5
2024,1,24,0,0.9,7.7
2024,1,25,0,1.1,8.5
2024,1,26,0,1.2,10.9
2024,1,27,0,1.4,12.3
2024,1,28,0,-1.6,10.8
2024,1,29,0,2.1,11.3
2024,1,30,0,1.2,13.3
2024,1,31,0,0.6,14.9
2024,2,1,0,2.9,15.9
2024,2,2,0,1.4,7.7
2024,2,3,0,2,11.9
2024,2,4,0,3.9,11.6
2024,2,5,26,0.2,5
2024,2,6,0.5,0.7,7.5
2024,2,7,0,-2.7,8.3
2024,2,8,0,-1.1,11.9
2024,2,9,0,-0.1,11
2024,2,10,0,-1.7,11.6
2024,2,11,0,3.5,12.3
2024,2,12,0,1,13.1
2024,2,13,0,-0.7,15.8
2024,2,14,0,-0.9,18.3
2024,2,15,0,3.1,19
2024,2,16,0,4.4,12.6
2024,2,17,0,4,13.7
2024,2,18,0,8.7,18.9
2024,2,19,0,8,14.3
2024,2,20,0,12.2,22.6
2024,2,21,1,7.4,13
2024,2,22,8,3.7,7.8
2024,2,23,1.5,1.4,4
2024,2,24,0,-1.2,10.2
2024,2,25,8.5,3.1,5.8
2024,2,26,0,4.1,12.1
2024,2,27,0,3.2,10
2024,2,28,0,3.8,13.1
2024,2,29,4.5,-0.1,11.9
2024,3,1,11.5,2,15.5
2024,3,2,0,2.1,10.1
2024,3,3,0,-0.6,13.5
2024,3,4,0,-0.1,14.7
2024,3,5,15.5,0.4,9.2
2024,3,6,7,0.4,9.9
2024,3,7,0,4.2,11.3
2024,3,8,3.5,1.8,11.3
2024,3,9,0,0.9,10.4
2024,3,10,0,0.2,11.7
2024,3,11,0,-1.7,13.1
2024,3,12,13,4.7,9.4
2024,3,13,0,4.6,12.5
2024,3,14,0,0.7,16.8
2024,3,15,0,4.1,18.9
2024,3,16,0,11.1,21.9
2024,3,17,0,6.9,21.6
2024,3,18,0,2.6,12.1
2024,3,19,0,2.3,13.6
2024,3,20,0,0.8,14.1
2024,3,21,0,1.7,10.3
2024,3,22,0,-0.1,12.1
2024,3,23,0,1,9.5
2024,3,24,0,1.7,17.1
2024,3,25,2,9.5,13.1
2024,3,26,44,7.1,11.4
2024,3,27,0,5.4,16.3
2024,3,28,11,4,13
2024,3,29,23,8.7,22.2
2024,3,30,0,8.8,25.9
2024,3,31,0,10.2,27.3
2024,4,1,0.5,9.4,19.5
2024,4,2,0,7.4,20.7
2024,4,3,14.5,9.5,14.2
2024,4,4,1.5,10.4,22.1
2024,4,5,1,8,13.9
2024,4,6,0,8.7,16.2
2024,4,7,0,9.7,24
2024,4,8,1,14.1,24.1
2024,4,9,29,8.7,17.4
2024,4,10,0,6.1,18.7
2024,4,11,0,5.3,19.4
2024,4,12,0,11.4,20.8
2024,4,13,0,9.5,24.2
2024,4,14,0,10.8,26.3
2024,4,15,0,11.7,27.8
2024,4,16,0,12.1,25
