A02,11:20,2406190700011,11:22,,40918493692,false
B07,12:27,2406190500032,12:28,,40918493693,false
C04,12:27,2406190600052,12:28,,50918493693,false
A01,12:29,2406190700012,12:30,,50928493693,false
P02,12:31,2406190800093,12:30,,50928493793,false
F07,12:32,2406190900033,12:33,,50928494793,false
H01,12:32,2406191000083,12:33,,51928494793,false
K13,12:33,2406191100053,12:34,,52928494793,false
K06,12:37,2406191200043,12:36,,52928594793,false
M01,12:39,2406191300033,12:40,,52928694793,false
F06,12:40,2406191400043,12:41,,52938694793,false
A06,12:40,2406191500023,12:41,,32938694793,false
B03,12:43,2406191500053,12:44,,72938694793,false
B04,12:44,2406191700063,12:45,,72948694793,false
C06,12:44,2406191700013,12:45,,72948694793,false
E04,12:44,2406191600063,12:45,,72948694793,false
R06,12:44,2406191700013,12:45,,72958694793,false
K08,12:48,2406191800083,12:49,,72958694793,false
C02,12:52,2406191900083,12:53,,72958694893,false
A12,12:57,2406192100093,12:58,,72958694894,false
A11,12:59,2406192000063,12:58,,72958694894,false
A10,13:02,2406192700013,13:03,,72958694894,false
C16,13:17,2406192800083,13:18,,73958694894,false
P16,13:23,2406192900013,13:25,,13958694894,false
D22,17:10,2406193000011,17:11,,41918493694,false
D17,17:12,2406193100051,17:11,,41918494694,false
P03,17:16,2406193200091,17:16,,41918494694,false
K07,17:16,2406193300011,17:16,,51918494694,false
B09,17:21,2406193400061,17:22,,51918494694,false
B10,17:28,2406193400091,17:28,,51918494694,false
B10,17:42,2406193400041,17:43,,51018494694,false
A03,18:10,2406190800011,18:17,,40918493694,false
D04,19:10,2406190600081,18:17,,40918493696,false

